country,cname,party_id,party_name,position,eu_salience,eu_dissent,eu_benefit,eu_ep,eu_intmark,eu_cohesion,eu_foreign,eu_turkey,lrgen,lrecon,galtan,spendvtax,spendvtax_salience,deregulation,dereg_salience,redistribution,redist_salience,civlib_laworder,civlib_salience,sociallifestyle,social_salience,religious_principle,relig_salience,immigrate_policy,immigra_salience,multiculturalism,immasylum_salience,urban_rural,urban_salience,environment,enviro_salience,regions,region_salience,international_security,international_salience,ethnic_minorities,ethnic_salience,eu_econ_req,eu_pol_req,eu_good_gov
1,"be",102,"PS",6.2,2.35714,2.46154,1.13333,6.54545,5.08333,6.625,6.33333,5.75,2.5,2.57143,2.85714,1.69231,7.61538,2.375,4.5,1.81818,7.58333,2.63636,4.72727,1.81818,5.09091,1.45455,2.54545,2,6.08333,3.25,5.54545,4,2.14286,4.91667,4.83333,5.58333,5.08333,6.09091,3.22222,2.44444,5.33333,,,
1,"be",103,"SP.A",6.06667,2.33333,3,1.13333,6.69231,5.21429,6.4,6.42857,5.61538,3.42857,3.2,2.93333,2.61538,7.23077,2.88889,4.875,2.45455,7.41667,3.6,4.81818,1.81818,5,1.63636,2.36364,4,5.16667,4.5,5.54545,3.625,2.625,3.91667,5.5,3.75,6.08333,6.45455,3.9,3.8,4.5,,,
1,"be",104,"ECOLO",6,2.5,2.23077,1.07692,6.75,4.58333,6.5,6.08333,6.36364,2.28571,2.14286,2,1.53846,5.33333,2.22222,4.625,1.6,7.08333,2.27273,5,1.18182,6.27273,2.27273,2.5,1,6.63636,2,6.81818,3.875,2.875,1.08333,9.41667,5.75,4.5,6.54545,4.125,1.4,7.55556,,,
1,"be",105,"Groen",6.2,2.6,2.2,1.06667,6.71429,4.28571,6.2,5.92857,6.15385,2.28571,2.33333,1.53333,1.92308,5.23077,2,4.625,1.81818,6.91667,2.18182,5.09091,.909091,6.54545,2.54545,2.54545,1.41667,6.58333,2.25,6.72727,3.5,3.375,1.08333,9.75,4.5,4.83333,7,3.6,1.6,7.2,,,
1,"be",106,"MR",6.66667,2.42857,2.30769,1,6.33333,6.83333,6.375,6.66667,4.90909,7,7.61538,4.35714,7.41667,8.07692,7.125,5.57143,6.63636,4.83333,5.45455,5.90909,3.36364,4.27273,2.27273,2.63636,5.66667,5.83333,5.83333,5.90909,4.625,2.375,6.91667,4.16667,6.08333,5.33333,3.81818,3.22222,4.7,5.22222,,,
1,"be",107,"VLD",6.66667,2.6,2.46667,1,6.64286,6.85714,5.9,6.78571,5,6.92857,7.6,3.2,8.38461,8.46154,7,5.75,6.2,4.83333,5.09091,5.54545,1.90909,5,1.54545,2.81818,6.58333,5.66667,6.08333,5.54545,4,1.625,6.66667,4.08333,3.75,6.25,4.18182,2.8,5.5,4.3,,,
1,"be",108,"CDH",6.57143,2.42857,2.30769,1,6.54545,6.08333,6.5,6.66667,4.90909,4.5,4,5.28571,4.61538,5.66667,4.25,4.14286,3.36364,6.16667,4.45455,4.3,4.18182,4.90909,5.45455,4.45455,3,6,3.91667,5.81818,5.625,2.75,5.54545,4.63636,6.16667,5.33333,4.90909,3.22222,3.2,5.33333,,,
1,"be",109,"CD&V",6.73333,2.86667,2.33333,1,6.69231,6.14286,6.2,6.78571,4.46154,5.78571,5.4,6.6,4.92308,5.53846,5.33333,3.75,4.18182,5.91667,5.18182,5.09091,5.81818,5.36364,7.09091,5.45455,5.58333,5,6.16667,5.54545,6.5,3.5,5.5,4.33333,2.83333,7.58333,3.72727,3.1,5.1,4.2,,,
1,"be",110,"NVA",5.33333,2.4,2.46667,1.28571,5.75,6.08333,5.1,6.23077,2.38462,7.57143,7.8,7.86667,8.07692,6.16667,7,5,6.3,4.58333,7.18182,6.36364,6.27273,4.36364,4.7,2.90909,7.91667,6.41667,8.58333,6.54545,5.25,2.125,7.09091,3.5,1.66667,9.91667,4.125,2.8,7,5.3,,,
1,"be",112,"VB",2.6,2.26667,2.66667,2.46667,4.25,4.16667,3.125,4.07692,1,9.85714,7.93333,9.6,8,4.58333,7.42857,3.28571,6.11111,4.25,9.18182,9.36364,9,6.36364,4.6,4,10,9.75,9.90909,9.63636,5.75,1.875,7.66667,2.83333,1.66667,9.83333,5.5,2.6,9.1,8.8,,,
1,"be",115,"FN",2.61538,1.84615,3.14286,2.1,4.28571,3.83333,5,3.85714,1,9.21429,8.45455,9.66667,8.66667,3,7.25,2,6.6,3.4,9.77778,9.66667,8.88889,7,4.28571,3.71429,10,10,9.8,9.6,4.5,.833333,7.16667,3.42857,7.4,2.5,5,2.85714,10,10,,,
1,"be",117,"LDD",3.5,2.14286,2.83333,1.75,4.83333,6.45455,4,4.5,1.53846,8.42857,8.86667,5.06667,9.38461,8.41667,8.33333,6.25,8.4,6.27273,8.66667,8.1,4.18182,4.36364,1,2.5,8.66667,6.41667,9,7,4.57143,1.71429,7.75,3.75,2.27273,7.90909,4.66667,2.3,8.44444,5.9,,,
1,"be",118,"SLP",5.25,2.5,3.71429,1.25,6,5,6.2,5.83333,5.8,2.76923,2.38462,1.90909,2.44444,4.5,3.33333,3.33333,2.42857,5.88889,2.71429,5,1.55556,6.875,1.28571,2.375,2.66667,5.625,3.33333,5.14286,3.83333,1.8,3.375,5.75,3.22222,6.875,4.5,3.5,2.57143,6,,,
1,"be",119,"PVDA",2.38462,2.53846,2.5,2.45455,4.85714,2.11111,5.33333,3.11111,5.57143,.285714,.2,2.27273,.181818,8,.166667,5.66667,.111111,9,1.71429,5.66667,1.57143,4.42857,1.25,2.25,.3,6.75,1.875,6.33333,4.16667,2.66667,4.625,5.33333,6.14286,2.75,7.83333,4.375,1.85714,6.66667,,,
2,"den",201,"SD",5.90909,2.27273,3.2,1,5.66667,5.45455,5.25,5.6,4.7,4.18182,3.81818,5,3,7.81818,4.5,4.66667,3.18182,6.81818,5.5,5.4,3.8,4.11111,3.125,3.1,6.36364,5.81818,6.18182,6.36364,3.63636,3.36364,4.36364,4.81818,5.625,3.375,3.8,5.7,5.54545,5.90909,,,
2,"den",202,"RV",6.81818,3.09091,1.1,1,6.11111,6.45455,5.5,5.4,5.72727,5.18182,6.36364,1.5,6.18182,7.36364,6.63636,5,5.09091,5.90909,2.5,7.5,1.9,7,1.5,2.33333,2.18182,8.18182,2.09091,8.27273,2.72727,3.36364,3,6.6,4.625,4.125,4.1,5.9,2.18182,7.63636,,,
