"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2010","Belgium","Current prices, euro per capita","Final consumption expenditure","25,050",""
"2010","Bulgaria","Current prices, euro per capita","Final consumption expenditure","4,050",""
"2010","Czechia","Current prices, euro per capita","Final consumption expenditure","10,450",""
"2010","Denmark","Current prices, euro per capita","Final consumption expenditure","32,870",""
"2010","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Final consumption expenditure","23,850",""
"2010","Estonia","Current prices, euro per capita","Final consumption expenditure","8,040",""
"2010","Ireland","Current prices, euro per capita","Final consumption expenditure","24,300",""
"2010","Greece","Current prices, euro per capita","Final consumption expenditure","18,610",""
"2010","Spain","Current prices, euro per capita","Final consumption expenditure","18,140",""
"2010","France","Current prices, euro per capita","Final consumption expenditure","24,350",""
"2010","Croatia","Current prices, euro per capita","Final consumption expenditure","8,460",""
"2010","Italy","Current prices, euro per capita","Final consumption expenditure","21,890",""
"2010","Cyprus","Current prices, euro per capita","Final consumption expenditure","19,730",""
"2010","Latvia","Current prices, euro per capita","Final consumption expenditure","6,930",""
"2010","Lithuania","Current prices, euro per capita","Final consumption expenditure","7,570","b"
"2010","Luxembourg","Current prices, euro per capita","Final consumption expenditure","38,970",""
"2010","Hungary","Current prices, euro per capita","Final consumption expenditure","7,330",""
"2010","Malta","Current prices, euro per capita","Final consumption expenditure","12,770",""
"2010","Netherlands","Current prices, euro per capita","Final consumption expenditure","27,580",""
"2010","Austria","Current prices, euro per capita","Final consumption expenditure","26,190",""
"2010","Poland","Current prices, euro per capita","Final consumption expenditure","7,580",""
"2010","Portugal","Current prices, euro per capita","Final consumption expenditure","14,700",""
"2010","Romania","Current prices, euro per capita","Final consumption expenditure","4,910",""
"2010","Slovenia","Current prices, euro per capita","Final consumption expenditure","13,590",""
"2010","Slovakia","Current prices, euro per capita","Final consumption expenditure","9,590",""
"2010","Finland","Current prices, euro per capita","Final consumption expenditure","26,770",""
"2010","Sweden","Current prices, euro per capita","Final consumption expenditure","28,740",""
"2010","United Kingdom","Current prices, euro per capita","Final consumption expenditure","25,560",""
"2010","Iceland","Current prices, euro per capita","Final consumption expenditure","24,760",""
"2010","Liechtenstein","Current prices, euro per capita","Final consumption expenditure",":",""
"2010","Norway","Current prices, euro per capita","Final consumption expenditure","41,910",""
"2010","Switzerland","Current prices, euro per capita","Final consumption expenditure","36,840",""
"2010","Montenegro","Current prices, euro per capita","Final consumption expenditure","5,240",""
"2010","North Macedonia","Current prices, euro per capita","Final consumption expenditure","3,250","e"
"2010","Albania","Current prices, euro per capita","Final consumption expenditure","2,760",""
"2010","Serbia","Current prices, euro per capita","Final consumption expenditure","4,090",""
"2010","Turkey","Current prices, euro per capita","Final consumption expenditure","6,200",""
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, euro per capita","Final consumption expenditure",":",""
"2011","Belgium","Current prices, euro per capita","Final consumption expenditure","25,750",""
"2011","Bulgaria","Current prices, euro per capita","Final consumption expenditure","4,390",""
"2011","Czechia","Current prices, euro per capita","Final consumption expenditure","10,860",""
"2011","Denmark","Current prices, euro per capita","Final consumption expenditure","33,140",""
"2011","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Final consumption expenditure","24,650",""
"2011","Estonia","Current prices, euro per capita","Final consumption expenditure","8,710",""
"2011","Ireland","Current prices, euro per capita","Final consumption expenditure","24,120",""
"2011","Greece","Current prices, euro per capita","Final consumption expenditure","17,090","p"
"2011","Spain","Current prices, euro per capita","Final consumption expenditure","18,020",""
"2011","France","Current prices, euro per capita","Final consumption expenditure","24,800",""
"2011","Croatia","Current prices, euro per capita","Final consumption expenditure","8,560",""
"2011","Italy","Current prices, euro per capita","Final consumption expenditure","22,220",""
"2011","Cyprus","Current prices, euro per capita","Final consumption expenditure","19,760",""
"2011","Latvia","Current prices, euro per capita","Final consumption expenditure","7,820",""
"2011","Lithuania","Current prices, euro per capita","Final consumption expenditure","8,330",""
"2011","Luxembourg","Current prices, euro per capita","Final consumption expenditure","39,910",""
"2011","Hungary","Current prices, euro per capita","Final consumption expenditure","7,490",""
"2011","Malta","Current prices, euro per capita","Final consumption expenditure","13,450",""
"2011","Netherlands","Current prices, euro per capita","Final consumption expenditure","27,830",""
"2011","Austria","Current prices, euro per capita","Final consumption expenditure","27,090",""
"2011","Poland","Current prices, euro per capita","Final consumption expenditure","7,850",""
"2011","Portugal","Current prices, euro per capita","Final consumption expenditure","14,280",""
"2011","Romania","Current prices, euro per capita","Final consumption expenditure","5,090",""
"2011","Slovenia","Current prices, euro per capita","Final consumption expenditure","13,920",""
"2011","Slovakia","Current prices, euro per capita","Final consumption expenditure","9,770",""
"2011","Finland","Current prices, euro per capita","Final consumption expenditure","28,120",""
"2011","Sweden","Current prices, euro per capita","Final consumption expenditure","31,200",""
"2011","United Kingdom","Current prices, euro per capita","Final consumption expenditure","25,760",""
"2011","Iceland","Current prices, euro per capita","Final consumption expenditure","26,220",""
"2011","Liechtenstein","Current prices, euro per capita","Final consumption expenditure",":",""
"2011","Norway","Current prices, euro per capita","Final consumption expenditure","44,280",""
"2011","Switzerland","Current prices, euro per capita","Final consumption expenditure","41,300",""
"2011","Montenegro","Current prices, euro per capita","Final consumption expenditure","5,400",""
"2011","North Macedonia","Current prices, euro per capita","Final consumption expenditure","3,370","e"
"2011","Albania","Current prices, euro per capita","Final consumption expenditure","2,850",""
"2011","Serbia","Current prices, euro per capita","Final consumption expenditure","4,630",""
"2011","Turkey","Current prices, euro per capita","Final consumption expenditure","6,180",""
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, euro per capita","Final consumption expenditure",":",""
"2012","Belgium","Current prices, euro per capita","Final consumption expenditure","26,510",""
"2012","Bulgaria","Current prices, euro per capita","Final consumption expenditure","4,670",""
"2012","Czechia","Current prices, euro per capita","Final consumption expenditure","10,660",""
"2012","Denmark","Current prices, euro per capita","Final consumption expenditure","33,930",""
"2012","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Final consumption expenditure","25,320",""
"2012","Estonia","Current prices, euro per capita","Final consumption expenditure","9,430",""
"2012","Ireland","Current prices, euro per capita","Final consumption expenditure","24,070",""
"2012","Greece","Current prices, euro per capita","Final consumption expenditure","15,870","p"
"2012","Spain","Current prices, euro per capita","Final consumption expenditure","17,530",""
"2012","France","Current prices, euro per capita","Final consumption expenditure","25,030",""
"2012","Croatia","Current prices, euro per capita","Final consumption expenditure","8,520",""
"2012","Italy","Current prices, euro per capita","Final consumption expenditure","21,830",""
"2012","Cyprus","Current prices, euro per capita","Final consumption expenditure","19,290",""
"2012","Latvia","Current prices, euro per capita","Final consumption expenditure","8,510",""
"2012","Lithuania","Current prices, euro per capita","Final consumption expenditure","8,890",""
"2012","Luxembourg","Current prices, euro per capita","Final consumption expenditure","41,170",""
"2012","Hungary","Current prices, euro per capita","Final consumption expenditure","7,430",""
